ztfid,recommendation_mjd,ra,dec,latest_magnitude,score,comment
ANT2024ow3wabs7s84x,60300,268.15757780456363,6.356384661271591,,,
ANT2025hnbsx7oau0pj,60300,230.6017424,1.4133451999999949,,,
ANT2024oc9odsbcgels,60300,301.2114644334423,35.96081922879073,,,TNS: 2024ef
ANT2024t51nd486402m,60300,293.80486251006005,35.975710689977085,,,
ANT2023tpg6xzx0ok7n,60300,231.9765653962755,-10.428815537868472,,,
ANT20253kuwjeql3ll8,60300,136.16013669750853,18.46668271615956,-18.04355617981044,,TNS: 2025oq; Class: SN Ic-BL; z=0.01133
ANT20259095ry0az8j7,60300,208.1686287,2.06551168584052,18.64677047729492,,TNS: 2025eys
ANT2025uzb80b7djxcu,60300,240.6698356,-0.8274885982480384,18.25939178466797,,TNS: 2025dig
ANT2025kf36di57tpn1,60300,184.3409095349469,-20.784093656251628,18.131000518798828,,TNS: 2024pff
ANT20257gjhhx8joubb,60300,291.58988485,2.02021945366603,16.910602569580078,,TNS: 2025fwd
ANT2023580poop8z630,60300,184.9581550764496,-20.370068414282,16.173458099365234,,
ANT2025orzfggrvi4e0,60300,121.8057757999971,25.646299759878502,18.958526611328125,,TNS: 2025etg
ANT2024xlte9uph05j6,60300,248.58619677599057,50.10512339361455,18.708471298217773,,TNS: 2024agig
ANT2025piziteakee8s,60300,102.5307798,0.0352785000016808,16.818151473999023,,
ANT2024i33tc6xqmdi0,60300,298.8346556820623,46.68957469560409,19.76070022583008,,
ANT2025ydxxk46dquof,60300,119.33202667794156,6.61913693419325,19.12326431274414,,TNS: 2025fpp
ANT2025sprp69i9rf6f,60300,242.2040903500001,-10.3480205145556,18.939565658569336,,TNS: 2025gyd
ANT2025iq09fs212bap,60300,134.58367358537143,9.368562486759274,18.825626373291016,,TNS: 2025gvv
ANT20259l6tihz8n0e1,60300,132.48495717280315,45.57468674932006,18.75141716003418,,TNS: 2025ezq
ANT2025ugsbo5fju30y,60300,116.4166877,51.8129753,18.390844345092773,,TNS: 2025ezs
ANT2025iw9e26bzlxlx,60300,287.6644021162723,37.16985819783163,15.374244689941406,,TNS: 2025fwb
ANT2025cxgyy0ct6op6,60300,222.68356699563225,35.91004522401472,19.356800079345703,,TNS: 2025gtx
ANT20257lpwss96dvd6,60300,144.388800767446,10.255491495018802,18.857402801513672,,TNS: 2025gri
ANT2025f6yum477eavz,60300,255.29113821746324,20.671549197693764,17.898906707763672,,TNS: 2025nz; Class: SN II; z=0.03
ANT20246po12kryhcsw,60300,159.9596623601031,-3.9842436108765193,19.523822784423828,,
ANT2025v7mqcrkwwsk3,60300,143.0035750138642,46.10419124766839,19.213245391845703,,TNS: 2025hbw
ANT2022mnsnm2b47ix0,60300,101.52256911788348,28.356014100368647,16.256650924682617,,
ANT2025yrjcxv4g01ih,60300,227.2088435794396,-4.982709933145259,19.61910057067871,,
ANT20252w4fdmah9lq1,60300,150.3355427592029,27.665403839344705,18.977548599243164,,TNS: 2025evj
ANT2025wkdjck52pn6v,60300,119.9277031,29.71992996266203,19.14189720153809,,
ANT2023kejjkoq6qmyr,60300,259.1239450207653,-14.736836231176966,19.01619911193848,,TNS: 2023fjz
