ztfid,recommendation_mjd,ra,dec,latest_magnitude,score,comment
ANT20239isdpk4gf9z5,60300,1.8730432834001167,29.23472978870943,11.967599868774414,33.0,
ANT20248py4iq5we10g,60300,78.37777989015007,-4.058144857203715,18.761768341064453,38.0,TNS: 2024sbn
ANT2023s33gyb4w2hiv,60300,186.22346233436696,78.52264446191346,19.76020050048828,49.0,
ANT20230ywwjqb62871,60300,113.91911441406776,34.32758167503363,20.019500732421875,43.0,
ANT2024acs1pgl07wih,60300,273.8065570213173,46.01543229919395,17.976791381835938,30.0,TNS: 2024aaqv
ANT2023innu4uv1zzj6,60300,165.5720907983778,41.21071553224656,18.13629913330078,31.0,
ANT2025nfi7sfj1jutl,60300,166.9268943,6.00150190489471,18.887773513793945,36.98,TNS: 2025xv
ANT2023jtslbsm31sg6,60300,133.60049091819576,69.84083792839327,20.097999572753903,53.0,
ANT2025b0m9m7n0g9yz,60300,149.78759346807257,10.291609995409871,18.09460067749023,31.0,TNS: 2025apa
ANT2024ygywihig1v4l,60300,269.822306976361,69.86113369576589,18.466800689697266,60.0,TNS: 2024myl; Class: SN IIn; z=0.0655
ANT2024mopoxijfsglz,60300,194.2376999799561,77.17412044769348,18.12547492980957,33.0,TNS: 2024adec; Class: SN IIb; z=0.035
ANT2024jnuqb93g6yi2,60300,56.24983267791138,20.01346663180356,19.96190071105957,42.0,
ANT2023ciy08j03mxes,60300,49.92691933882916,24.75330127380809,19.83952522277832,34.0,
ANT20223n6lqzwa0fwf,60300,205.2854941625472,30.02512097061817,14.936261177062988,36.0,
ANT2025xpdkvfbwslhe,60300,139.38171480000025,15.085810655625224,19.03944206237793,31.0,TNS: 2025bxm; Class: SN Ia; z=0.09
ANT2024sn6oe0p89hje,60300,230.4950399512857,62.806327488649856,16.982999801635742,54.98,TNS: 2024jlc; Class: SLSN-I; z=0.039
ANT2025v5062opu7x8l,60300,245.4456854292987,25.707475341136487,19.010900497436523,33.0,TNS: 2025awt
ANT202498jeqxvlctph,60300,143.3122423538677,-1.4920281160804336,19.22408866882324,39.0,TNS: 2024wvu
ANT2024j805e4zmqila,60300,281.58647618038736,43.06396013120647,19.86930084228516,30.0,
ANT2025awg48v3wsa51,60300,171.7374939543389,-1.321523185282885,18.60260009765625,44.0,
ANT2025cu5c5y50oha6,60300,156.70150294502577,8.720913251515057,18.49327850341797,42.0,TNS: 2025aio; Class: SN Ia; z=0.071
ANT2025zq2liy6of4b7,60300,174.34138590805313,-12.74094871567263,19.27740478515625,37.0,TNS: 2025byi
ANT2024wgdhrr4dve23,60300,56.37377669577476,6.892828531076091,19.57169914245605,33.0,
ANT20250n0i75l1p9el,60300,86.11144687714804,71.6367698757573,18.99337577819824,33.0,TNS: 2025aof
ANT2025zsenwxl95b0w,60300,210.69240235,-2.085490539405882,18.126903533935547,33.0,TNS: 2025ayo; Class: SN Ia; z=0.052
ANT2025fi48fkcs8il0,60300,130.68287265197696,-12.681743702111577,19.37592887878418,45.0,
ANT2024d4pe32pyeai3,60300,205.4215628257653,-7.501973176413117,19.339799880981445,44.0,
ANT20252gke45rbqr2f,60300,254.64218738676405,-5.266551780124615,19.273664474487305,43.0,
ANT2025fx99wf7dzjm7,60300,131.27927381641382,-9.578468549428749,19.23155212402344,43.0,
ANT2025sl9n1ox6rkqm,60300,138.45445892123894,17.741173888427866,17.889970779418945,40.0,TNS: 2025agp; Class: SN II; z=0.0294
